uf_abb,uf_code,munic_code,munic_name,d_1997,d_1998,d_1999,d_2000,d_2001,d_2002,d_2003,d_2004,d_2005,d_2006,d_2007,d_2008,d_2009,d_2010,d_2011,d_2012,d_2013,d_2014,d_2015,d_2016,d_2017,d_2018,d_2019,d_2020,d_2021,d_2022,previous_mun_1997,previous_mun_1998,previous_mun_1999,previous_mun_2000,previous_mun_2001,previous_mun_2002,previous_mun_2003,previous_mun_2004,previous_mun_2005,previous_mun_2006,previous_mun_2007,previous_mun_2008,previous_mun_2009,previous_mun_2010,previous_mun_2011,previous_mun_2012,previous_mun_2013,previous_mun_2014,previous_mun_2015,previous_mun_2016,previous_mun_2017,previous_mun_2018,previous_mun_2019,previous_mun_2020,previous_mun_2021,previous_mun_2022
AC,12,1200203,Cruzeiro do Sul,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1200203,1200203,1200203,1200203,1200203,1200203,1200203,1200203,1200203,1200203,1200203,1200203,1200203,1200203,1200203,1200203,1200203,1200203,1200203,1200203,1200203,1200203,1200203,1200203,1200203,1200203
AC,12,1200252,Epitaciolândia,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1200252,1200252,1200252,1200252,1200252,1200252,1200252,1200252,1200252,1200252,1200252,1200252,1200252,1200252,1200252,1200252,1200252,1200252,1200252,1200252,1200252,1200252,1200252,1200252,1200252,1200252
AC,12,1200302,Feijó,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1200302,1200302,1200302,1200302,1200302,1200302,1200302,1200302,1200302,1200302,1200302,1200302,1200302,1200302,1200302,1200302,1200302,1200302,1200302,1200302,1200302,1200302,1200302,1200302,1200302,1200302
AC,12,1200328,Jordão,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1200328,1200328,1200328,1200328,1200328,1200328,1200328,1200328,1200328,1200328,1200328,1200328,1200328,1200328,1200328,1200328,1200328,1200328,1200328,1200328,1200328,1200328,1200328,1200328,1200328,1200328
AC,12,1200336,Mâncio Lima,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1200336,1200336,1200336,1200336,1200336,1200336,1200336,1200336,1200336,1200336,1200336,1200336,1200336,1200336,1200336,1200336,1200336,1200336,1200336,1200336,1200336,1200336,1200336,1200336,1200336,1200336
AC,12,1200344,Manoel Urbano,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1200344,1200344,1200344,1200344,1200344,1200344,1200344,1200344,1200344,1200344,1200344,1200344,1200344,1200344,1200344,1200344,1200344,1200344,1200344,1200344,1200344,1200344,1200344,1200344,1200344,1200344
AC,12,1200351,Marechal Thaumaturgo,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1200351,1200351,1200351,1200351,1200351,1200351,1200351,1200351,1200351,1200351,1200351,1200351,1200351,1200351,1200351,1200351,1200351,1200351,1200351,1200351,1200351,1200351,1200351,1200351,1200351,1200351
AC,12,1200385,Plácido de Castro,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1200385,1200385,1200385,1200385,1200385,1200385,1200385,1200385,1200385,1200385,1200385,1200385,1200385,1200385,1200385,1200385,1200385,1200385,1200385,1200385,1200385,1200385,1200385,1200385,1200385,1200385
AC,12,1200393,Porto Walter,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1200393,1200393,1200393,1200393,1200393,1200393,1200393,1200393,1200393,1200393,1200393,1200393,1200393,1200393,1200393,1200393,1200393,1200393,1200393,1200393,1200393,1200393,1200393,1200393,1200393,1200393
AC,12,1200401,Rio Branco,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1200401,1200401,1200401,1200401,1200401,1200401,1200401,1200401,1200401,1200401,1200401,1200401,1200401,1200401,1200401,1200401,1200401,1200401,1200401,1200401,1200401,1200401,1200401,1200401,1200401,1200401
